Date,Customer Code,Distributor Code,Seller Code,Customer Category,Product Code,Product Name,Product Width,Product Height,Product Depth,Sale Quantity,Sale Amount
18-01-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,15,2880
18-01-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,14,3080
22-01-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,7,1344
22-01-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,6,1320
22-01-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,13,2496
30-01-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,4,768
06-02-2023,D001-S01-C001,D001,D001-S01,C,P003,Product 3,12,13.7,3.6,15,1740
06-02-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,3,600
06-02-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,9,2178
13-02-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,9,2106
13-02-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,10,2420
13-02-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,12,2304
14-02-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,5,465
03-03-2023,D001-S01-C001,D001,D001-S01,C,P007,Product 7,18,22.9,9.3,9,1125
03-03-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,6,1452
03-03-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,15,3000
05-03-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,11,2420
05-03-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,7,1666
05-03-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,5,1100
10-03-2023,D001-S01-C001,D001,D001-S01,C,P002,Product 2,15.2,17.1,4.9,11,2618
11-03-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,5,1210
11-03-2023,D001-S01-C001,D001,D001-S01,C,P010,Product 10,12.2,20.6,5.4,5,1210
11-03-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,12,2400
12-03-2023,D001-S01-C001,D001,D001-S01,C,P004,Product 4,10.9,29.1,5.1,8,1760
14-03-2023,D001-S01-C001,D001,D001-S01,C,P006,Product 6,8.6,20.4,5.8,9,1800
17-03-2023,D001-S01-C001,D001,D001-S01,C,P009,Product 9,17.4,17.5,4.9,5,465
17-03-2023,D001-S01-C001,D001,D001-S01,C,P005,Product 5,18.8,11.4,7,13,3042
17-03-2023,D001-S01-C001,D001,D001-S01,C,P008,Product 8,16.3,25.6,7.1,12,2304
